Go.	Geh.
It's true.	Es ist wahr.
It's work.	Es ist Arbeit.
It's work.	Das ist meine Arbeit.
Jump down.	Spring runter!
Just swim.	Schwimm einfach.
Keep away.	Bleib weg.
Keep away.	Bleibt weg.
Keep away.	Bleiben Sie weg.
Keep back.	Bleiben Sie zurück.
Keep calm.	Bleib ruhig.
Keep calm.	Bleiben Sie ruhig.
Keep cool.	Bleib gelassen!
Keep down.	Bleib unten.
Keep that.	Behalt’s!
Keep them.	Behalte sie.
Keep them.	Behalten Sie sie.
Keep them.	Behaltet sie.
Keep them.	Behalt sie!
Keep this.	Behalte das!
Keep warm.	Halt dich warm.
Keep warm.	Haltet euch warm.
Keep warm.	Halten Sie sich warm.
Kill them.	Töte sie!
Kill them.	Tötet sie!
Kill them.	Töten Sie sie!
Kill them.	Bring sie um!
Kill them.	Bringt sie um!
Kill them.	Bringen Sie sie um!
Leave Tom.	Verlasse Tom.
Leave Tom.	Verlassen Sie Tom.
Leave now.	Geh jetzt!
Leave now.	Geht jetzt!
Let it be.	Lass es sein.
Let it be.	Lass es bleiben.
Let me be.	Lass mich in Ruhe.
Let me go!	Lassen Sie mich gehen!
Let me go!	Lass mich gehen!
Let me in.	Lass mich herein.
Let us go.	Lass uns gehen.
Let us go.	Lassen Sie uns gehen.
Let's eat.	Essen wir etwas!
Let's see.	Schauen wir mal.
Let's try!	Lasst es uns versuchen!
Let's try!	Lass es uns versuchen!
Let's try!	Lass es uns probieren!
Lie still.	Lieg still und beweg dich nicht.
Listen up.	Hör zu.
Look away.	Schau weg.
Look back!	Schau nach hinten!
Look back.	Schau hinter dich.
Look down.	Guck runter.
Look here.	Schau hier.
Look here.	Schau her.
Loosen it.	Dreh es auf.
Loosen up.	Mach dich locker!
Move over.	Rutsch mal ein Stück!
Nice shot!	Guter Schuss!
Of course!	Natürlich!
Of course!	Selbstverständlich!
Of course!	Auf jeden Fall!
Of course!	Na klar!
Of course!	Aber sicher doch!
Please go.	Bitte geh.
Please go.	Bitte geht.
Please go.	Bitte gehen Sie.
Put it on.	Setz es auf.
Put it on.	Tu es drauf.
Put it on.	Setz ihn auf.
Put it on.	Zieh sie an.
Put it on.	Setz sie auf.
Put it on.	Setz sie dir auf.
Put it on.	Zieh sie dir an.
Put it on.	Setz ihn dir auf.
Read this.	Lies das hier.
Repeat it.	Wiederhole es!
Repeat it.	Wiederholen Sie es
Repeat it.	Wiederholt es!
Say "aah."	Sag „Ah!“
Say hello.	Sag Hallo.
See below.	Siehe unten.
Seize him!	Fass ihn!
Seize him!	Fassen Sie ihn!
Seize him!	Fasst ihn!
Seriously?	Wirklich?
Seriously?	Echt?
Seriously?	Ernsthaft?
Seriously?	Im Ernst?
Seriously?	Echt jetzt?
She cried.	Sie weinte.
She tried.	Sie hat's versucht.
She walks.	Sie geht.
She walks.	Sie geht zu Fuß.
She's hot.	Sie ist heiß.
Sign here.	Unterschreibe hier.
Sign here.	Unterschreiben Sie hier.
Sign this.	Unterschreiben Sie das.
Sign this.	Unterschreib das.
Sit by me.	Setz dich zu mir!
Sit still.	Sitz still.
Sit still.	Sitzen Sie still.
Sit there.	Setz dich dorthin.
Sit tight.	Harre aus!
Start now.	Beginnen Sie jetzt.
Start now.	Fang jetzt an.
Stay away.	Bleiben Sie weg.
Stay back.	Bleibt zurück!
Stay calm.	Bleib ruhig.
Stay calm.	Bleiben Sie ruhig.
Stay cool.	Bleib ruhig.
Stay cool.	Bleibt ruhig.
Stay cool.	Bleiben Sie ruhig.
Stay cool.	Bleib cool.
Stay cool.	Bleibt cool.
Stay down!	Bleib unten!
Stay down.	Bleib unten!
Stay home.	Bleib zu Hause.
Stay thin.	Bleiben Sie dünn.
Stay thin.	Bleib dünn.
Step back.	Tritt zurück!
Stop here.	Hör hier auf.
Stop here.	Halte hier.
Stop here.	Halte hier an.
Stop here.	Bleib hier stehen.
Stop that!	Lass das!
Stop that!	Hör auf damit!
Stop that!	Hör mal auf!
Stop that!	Hör mal auf damit!
Stop them.	Stopp sie.
Stop them.	Stoppen Sie sie.
Take care!	Pass auf dich auf!
Take care.	Mach's gut.
Take mine.	Nimm meins.
Take mine.	Nimm meine.
Take mine.	Nimm meinen.
Take mine.	Nehmt meins.
Take mine.	Nehmt meine.
Take mine.	Nehmt meinen.
Take mine.	Nehmen Sie meins.
Take mine.	Nehmen Sie meinen.
Take mine.	Nehmen Sie meine.
Take over.	Übernimm du.
Take over.	Übernehmt ihr.
Take over.	Übernehmen Sie.
Take this.	Nimm das.
Thank you.	Danke!
That hurt.	Das tat weh.
That hurt.	Das hat wehgetan.
That's OK.	Das ist in Ordnung.
That's OK.	Das ist o.k.
That's it.	Das war's.
That's me.	Das bin ich!
That's me.	Ich bin jetzt fertig.
Then what?	Na und?
They fell.	Sie fielen.
They fell.	Sie stürzten.
They lied.	Sie haben gelogen.
They lost.	Sie verloren.
They lost.	Sie haben verloren.
They swam.	Sie schwammen.
Time's up.	Die Zeit ist um.
Tom began.	Thomas begann.
Tom began.	Thomas hat begonnen.
Tom began.	Thomas fing an.
Tom began.	Thomas hat angefangen.
Tom bowed.	Tom verneigte sich.
Tom cried.	Tom weinte.
Tom dived.	Tom tauchte.
Tom dozed.	Tom döste.
Tom drove.	Tom fuhr.
Tom froze.	Tom erstarrte.
Tom is OK.	Tom ist in Ordnung.
Tom is in.	Tom ist hier.
Tom is up.	Tom ist auf.
Tom knelt.	Thomas kniete.
Tom knits.	Tom strickt.
Tom knows.	Tom weiß es.
Tom moved.	Tom bewegte sich.
Tom rocks.	Tom ist super.
Tom slept.	Tom schlief.
Tom spoke.	Tom hat gesprochen.
Tom spoke.	Tom sprach.
Tom stood.	Tom stand auf.
Tom swims.	Tom schwimmt.
Tom swore.	Tom fluchte.
Tom tried.	Tom versuchte es.
Tom tried.	Tom hat es versucht.
Tom tries.	Tom versucht es.
Tom voted.	Tom hat gewählt.
Tom voted.	Tom wählte.
Tom walks.	Tom geht zu Fuß.
Tom waved.	Tom winkte.
Tom works.	Tom arbeitet.
Tom'll go.	Tom wird gehen.
Tom's fat.	Tom ist dick.
Tom's mad.	Tom ist wütend.
Tom's sad.	Tom ist traurig.
Tom's shy.	Tom ist schüchtern.
Trust Tom.	Vertraue Tom!
Trust Tom.	Vertrauen Sie Tom!
Trust Tom.	Vertraut Tom!
Try again.	Versuchen Sie es noch einmal.
Try again.	Versuch es noch einmal.
Try again.	Versucht es noch mal.
Try it on.	Probier es an!
Try it on.	Probier sie an!
Try it on.	Probier ihn an!
Unlock it.	Schließ es auf.
Unlock it.	Entsperr es.
Watch Tom.	Sieh Tom zu!
Watch Tom.	Sehen Sie Tom zu!
Watch Tom.	Seht Tom zu!
We agreed.	Wir waren uns einig.
We agreed.	Wir stimmten zu.
We can go.	Wir können gehen.
We did it!	Wir haben es geschafft!
We did it.	Wir haben es geschafft!
We failed.	Wir sind gescheitert.
We failed.	Wir haben versagt.
We forgot.	Wir haben es vergessen.
We prayed.	Wir haben gebetet.
We prayed.	Wir beteten.
We saw it.	Wir sahen es.
We saw it.	Wir haben es gesehen.
We smiled.	Wir lächelten.
We talked.	Wir haben uns unterhalten.
We waited.	Wir warteten.
We walked.	Wir sind zu Fuß gegangen.
We'll see.	Wir werden sehen.
We'll try.	Wir werden es versuchen.
We'll win.	Wir werden siegen.
We're hot.	Uns ist heiß.
We're sad.	Wir sind traurig.
We're shy.	Wir sind schüchtern.
We've won!	Wir haben gewonnen!
Well done.	Gut gemacht.
What's on?	Was ist los?
What's up?	Was ist los?
What's up?	Na, wie geht's?
Who cares?	Wen kümmert’s?
Who cares?	Wen kümmert das schon?
Who drove?	Wer ist gefahren?
Who drove?	Wer fuhr?
Who is he?	Wer ist er?
Who spoke?	Wer hat gesprochen?
Who spoke?	Wer sprach?
Who stood?	Wer stand?
Who'll go?	Wer geht?
Who'll go?	Wer wird gehen?
Who's she?	Wer ist sie?
Wonderful!	Wunderbar!
Wonderful!	Herrlich!
Write Tom.	Schreibe Tom!
Write Tom.	Schreiben Sie Tom!
Write Tom.	Schreibt Tom!
You drive.	Du fährst.
You drive.	Sie fahren.
You idiot!	Du Idiot!
You start.	Du fängst an.
You stink.	Du stinkst.
You stink.	Ihr stinkt.
You stink.	Sie stinken.
You tried.	Du hast's versucht.
You're OK.	Du bist okay.
Aim higher.	Ziel höher!
Aim higher.	Zielen Sie höher!
Aim higher.	Zielt höher!
All aboard!	Alle Mann an Bord!
Am I dying?	Sterbe ich?
Am I early?	Bin ich früh dran?
Am I fired?	Bin ich gefeuert?
Am I hired?	Bin ich eingestellt?
Am I right?	Habe ich recht?
Am I right?	Liege ich richtig?
Am I weird?	Bin ich komisch?
Am I wrong?	Hab ich nicht Recht?
Am I wrong?	Irre ich mich?
Answer Tom.	Antworte Tom!
Answer Tom.	Antworten Sie Tom!
Answer Tom.	Antwortet Tom!
Are you 18?	Bist du 18?
Are you OK?	Geht es dir gut?
Are you OK?	Geht es euch gut?
Are you OK?	Geht es Ihnen gut?
Are you in?	Bist du dabei?
Are you up?	Bist du auf?
Ask anyone.	Frag irgendwen!
Ask around.	Frag herum.
Ask around.	Fragen Sie herum.
Ask around.	Fragt herum.
Be careful!	Vorsicht!
Be careful.	Sei vorsichtig!
Be careful.	Sieh dich vor!
Be careful.	Gib Obacht!
Be careful.	Gib Acht!
Be careful.	Gib acht!
Be patient.	Sei geduldig!
Be serious.	Bleib mal auf dem Boden der Tatsachen!
Birds sing.	Vögel singen.
Bottoms up!	Zum Wohl!
Bring help.	Hol Hilfe.
Bring wine.	Bring Wein.
Can I come?	Kann ich kommen?
Can I come?	Darf ich kommen?
Can I help?	Kann ich helfen?
Can I help?	Kann ich mich nützlich machen?
Can I sing?	Kann ich singen?
Can I stay?	Kann ich bleiben?
Carry this.	Trag das.
Check that.	Prüfe das nach!
Check that.	Prüfen Sie das nach!
Check this.	Überprüfen Sie das.
Choose one.	Suche eines aus.
Choose one.	Such dir eine aus.
Come again.	Komm wieder.
Come again.	Kommt wieder.
Come again.	Kommen Sie wieder.
Come alone.	Komm allein.
Come alone.	Kommen Sie allein.
Come alone.	Kommt allein.
Come along.	Komm mit.
Come along.	Kommt mit.
Come early.	Kommen Sie frühzeitig.
Come early.	Komm frühzeitig.
Come on in!	Komm rein!
Come on in!	Komm doch herein!
Come on in.	Komm herein.
Come quick!	Komm schnell!
Come quick!	Kommt schnell!
Come quick!	Kommen Sie schnell!
Come to me.	Komm zu mir.
Come to us.	Komm zu uns.
Definitely!	Auf jeden Fall!
Destroy it.	Mach es kaputt.
Did Tom go?	Ist Tom hingegangen?
Did Tom go?	Ist Tom gegangen?
Dig faster.	Grab schneller.
Do come in.	Kommen Sie doch rein!
Do come in.	Komm doch rein!
Do come in.	Kommen Sie bitte herein.
Do men cry?	Weinen Männer?
Don't brag.	Gib nicht an.
Don't come.	Komm nicht.
Don't come.	Kommt nicht!
Don't come.	Kommen Sie nicht!
Don't jump!	Spring nicht!
Don't look.	Nicht gucken!
Don't move.	Bewegt euch nicht.
Don't move.	Nicht bewegen!
Don't peek.	Nicht gucken!
Don't push.	Nicht schubsen!
Don't sing.	Sing nicht.
Don't stop.	Hör nicht auf.
Don't talk!	Nicht reden!
Don't talk!	Sag nichts!
Don't wait.	Warte nicht!
Don't wait.	Wartet nicht!
Don't wait.	Warten Sie nicht!
Don't yell.	Schrei nicht!
Don't yell.	Schreien Sie nicht!
Don't yell.	Schreit nicht!
Drink this.	Trink das!
Drink this.	Trink das hier!
Duty calls.	Die Pflicht ruft.
Eat slowly.	Iss langsam!
Examine it.	Untersuchen Sie es.
Fill it up.	Volltanken.
Find a job.	Such dir einen Job.
Find a job.	Besorgt euch einen Job.
Find a job.	Suchen Sie sich Arbeit.
Fire burns.	Feuer brennt.
Follow Tom.	Folge Tom.
Follow Tom.	Folgen Sie Tom.
Follow Tom.	Folgt Tom.
Follow him.	Folge ihm!
Forget Tom.	Vergiss Tom.
Forget him.	Vergessen Sie ihn.
Forgive us.	Vergib uns.
Get a life!	Hast du nichts anderes zu tun?
Get a life.	Hast du nichts anderes zu tun?
Get inside.	Komm herein.
Get moving.	Beweg dich.
Get off me.	Lass mich in Ruhe.
Give it up.	Gib es auf!
Go on home.	Geh nach Hause.
Go see Tom.	Geh zu Tom.
Go to work.	Geh arbeiten!
Go to work.	Gehe arbeiten!
God exists.	Gott existiert.
Good night.	Gute Nacht!
Have faith.	Hab Vertrauen.
He gave in.	Er gab auf.
He gave up.	Er gab auf.
He got a D.	Er bekam ein „ausreichend“.
He got a D.	Er bekam eine Vier.
He hung up.	Er legte auf.
He hung up.	Er hat aufgelegt.
He is a DJ.	Er ist ein DJ.
He is a DJ.	Er ist DJ.
He is busy.	Er ist beschäftigt.
He is here!	Er ist hier!
He is kind.	Er ist freundlich.
He is kind.	Er ist liebenswürdig.
He is mean.	Er ist gemein.
He is mean.	Er ist fies.
He is poor.	Er ist arm.
He is sick.	Er ist krank.
He is tall.	Er ist groß.
He laughed.	Er lachte.
He laughed.	Er hat gelacht.
He made it.	Er schaffte es.
He's Swiss.	Er ist Schweizer.
He's broke.	Er ist pleite.
He's cruel.	Er ist grausam.
He's lying.	Er lügt.
He's smart.	Er ist klug.
He's smart.	Er ist elegant.
Head north.	Fahren Sie Richtung Norden.
Head north.	Fahrt Richtung Norden.
Hello, Tom.	Hallo, Tom.
Here he is!	Er ist hier!
Here it is.	Hier ist es.
Here we go.	Los geht's.
Here we go.	Jetzt geht's los!
Here's Tom.	Hier ist Tom.
Hold still.	Halt still!
Hold still.	Halten Sie still!
Hold still.	Haltet still!
Hold tight.	Halt dich fest.
How absurd!	So ein Unsinn!
How absurd!	Wie absurd!
How boring!	Wie langweilig!
How clever!	Wie schlau!
How clever!	Wie geschickt!
How clever!	Wie klug!
How lovely!	Wie nett!
How tragic!	Wie tragisch!
How was it?	Wir war es?
How's work?	Wie läuft die Arbeit?
Hurry home.	Geh schnell nach Hause.
Hurry home.	Gehen Sie schnell nach Hause.
I admit it.	Ich geb es zu.
I am a boy.	Ich bin ein Junge.
I am a man.	Ich bin ein Mann.
I am a man.	Ich bin ein Mensch.
I am happy.	Ich bin glücklich.
I am happy.	Ich bin froh.
I am human.	Ich bin menschlich.
I am ready.	Ich bin bereit.
I am ready.	Ich bin fertig.
I am ready.	Ich bin soweit.
I am right.	Ich habe recht.
I am right.	Ich habe Recht.
I broke it.	Ich habe es kaputtgemacht.
I built it.	Ich habe es gebaut.
I built it.	Ich habe ihn gebaut.
I built it.	Ich habe sie gebaut.
I can come.	Ich kann kommen.
I can cook.	Ich kann kochen.
I can jump.	Ich kann springen.
I can sing.	Ich kann singen.
I can stay.	Ich kann bleiben.
I can swim.	Ich kann schwimmen.
I can wait.	Ich kann warten.
I can't go.	Ich kann nicht gehen.
I canceled.	Ich habe abgesagt.
I canceled.	Ich sagte ab.
I chew gum.	Ich kaue Kaugummi.
I disagree.	Ich bin anderer Meinung.
I disagree.	Ich bin anderer Ansicht.
I drank it.	Ich habe es getrunken.
I eat here.	Ich esse hier.
I eat meat.	Ich esse Fleisch.
I eat rice.	Ich esse Reis.
I envy Tom.	Ich beneide Tom.
I envy her.	Ich beneide sie.
I envy him.	Ich beneide ihn.
I feel bad.	Ich fühle mich schlecht.
I feel old.	Ich fühle mich alt.
I fixed it.	Ich habe es repariert.
I fixed it.	Ich habe ihn repariert.
I fixed it.	Ich habe sie repariert.
I found it.	Ich habe es gefunden.
I found it.	Ich habe ihn gefunden.
I found it.	Ich habe sie gefunden.
I got an A.	Ich habe eine Eins bekommen.
I got cold.	Mir wurde kalt.
I had help.	Ich hatte Hilfe.
I hate Tom.	Ich hasse Tom.
I have one.	Ich habe eine.
I have one.	Ich habe eines.
I have won.	Ich habe gewonnen.
I have won.	Ich gewann.
I have won.	Ich bin der Sieger.
I have won.	Ich bin Sieger.
I hear you.	Ich höre dich.
I hear you.	Ich weiß, was ihr meint.
I hear you.	Ich weiß, was Sie meinen.
I hear you.	Ich verstehe, was ihr sagt.
I hear you.	Ich verstehe, was Sie sagen.
I heard it.	Ich habe es gehört.
I heard it.	Ich habe es vernommen.
I help him.	Ich helfe ihm.
I hope not.	Ich hoffe nicht.
I just ate.	Ich habe gerade gegessen.
I knew Tom.	Ich kannte Tom.
I know Tom.	Ich kenne Tom.
I know her.	Ich kenne sie.
I know now.	Ich weiß es jetzt.
I know you.	Ich kenne dich.
I like Tom.	Ich mag Tom.
I like art.	Ich mag Kunst.
I like him.	Ich mag ihn.
I like tea.	Ich mag Tee.
I like you.	Du gefällst mir.
I like you.	Ich mag dich.
I listened.	Ich hörte zu.
I listened.	Ich habe zugehört.
I love Tom.	Ich liebe Tom.
I love him.	Ich liebe ihn.
I love tea.	Ich liebe Tee.
I love you.	Ich liebe Sie.
I love you.	Ich liebe dich!
I love you.	Ich liebe euch.
I love you.	Ich liebe dich.
I loved it.	Ich liebte es.
I made tea.	Ich habe Tee gemacht.
I made tea.	Ich machte Tee.
I met them.	Ich habe sie getroffen.
I met them.	Ich traf sie.
I miss Tom.	Ich vermisse Tom.
I miss Tom.	Tom fehlt mir.
I miss you.	Ich vermisse dich.
I miss you.	Ich vermisse Sie.
I miss you.	Ich vermisse euch.
I miss you.	Du fehlst mir.
I need Tom.	Ich brauche Tom.
I need air.	Ich brauche Luft.
I need ice.	Ich brauche Eis.
I need you.	Ich brauche dich.
I need you.	Ich brauche Sie.
I need you.	Ich brauche euch.
I panicked.	Ich geriet in Panik.
I pity you.	Du tust mir leid.
I promised.	Ich habe es versprochen.
I ran away.	Ich rannte davon.
I ran home.	Ich lief nach Hause.
I ran home.	Ich rannte nach Hause.
I remember.	Ich erinnere mich.
I resigned.	Ich bin zurückgetreten.
I resigned.	Ich trat zurück.
I said yes.	Ich sagte ja.
I sat down.	Ich setzte mich.
I saw that.	Das habe ich gesehen.
I saw them.	Ich habe sie gesehen.
I see that.	Ich sehe das.
I shot Tom.	Ich schoss auf Tom.
I survived.	Ich habe überlebt.
I survived.	Ich überlebte.
I think so.	Ich stimme dem zu.
I threw up.	Ich habe gekotzt.
I threw up.	Ich habe mich übergeben.
I threw up.	Ich habe erbrochen.
I told Tom.	Ich habe es Tom gesagt.
I use this.	Ich verwende das.
I use this.	Ich benutze das.
I want Tom.	Ich will Tom.
I want one!	Ich will einen!
I want one!	Ich will eins!
I want one!	Ich will eine!
I want one.	Ich will eins.
I want you.	Ich will dich.
I want you.	Ich will dich!
I was away.	Ich war weg.
I was busy.	Ich war beschäftigt.
I was cold.	Mir war kalt.
I was good.	Ich war gut.
I was rude.	Ich war ruppig.
I was sick.	Ich war krank.
I whistled.	Ich habe gepfiffen.
I whistled.	Ich pfiff.
I will try.	Ich werde es versuchen.
I won't go.	Ich werde nicht gehen.
I'll be OK.	Es wird mir gut gehen.
I'll do it.	Ich werde es tun.
I'll go in.	Ich werde reingehen.
I'll hurry.	Ich werde mich beeilen.
I'll shoot.	Ich werde schießen.
I'll stand.	Ich werde stehen.
I'll start.	Ich werde anfangen.
I'm OK now.	Ich bin wieder OK.
I'm a cook.	Ich bin ein Koch.
I'm a girl.	Ich bin ein Mädchen.
I'm a hero.	Ich bin ein Held.
I'm a monk.	Ich bin ein Mönch.
I'm afraid.	Ich habe Angst.
I'm amused.	Ich bin amüsiert.
I'm anemic.	Ich habe Blutarmut.
I'm baking.	Ich koche gerade.
I'm better.	Ich bin besser.
I'm biased.	Ich bin voreingenommen.
I'm buying.	Ich bezahle.
I'm chubby.	Ich bin pummelig.
I'm chubby.	Ich bin mollig.
I'm coming.	Ich komme.
I'm coming.	Ich bin gleich da.
I'm eating.	Ich esse gerade.
I'm eating.	Ich esse.
I'm eating.	Ich bin dabei zu essen.
I'm famous.	Ich bin berühmt.
I'm for it.	Ich bin dafür.
I'm greedy.	Ich bin gierig.
I'm hiding.	Ich verstecke mich.
I'm hiding.	Ich verstecke mich gerade.
I'm humble.	Ich bin bescheiden.
I'm hungry!	Ich bin hungrig!
I'm hungry.	Ich bin hungrig!
I'm hungry.	Ich habe Hunger.
I'm immune.	Ich bin immun.
I'm in bed.	Ich bin im Bett.
I'm inside.	Ich bin drinnen.
I'm lonely.	Ich bin einsam.
I'm losing.	Ich bin am Verlieren.
I'm losing.	Ich bin dabei zu verlieren.
I'm losing.	Ich verliere.
I'm mature.	Ich bin reif.
I'm moving.	Ich bewege mich.
I'm not OK.	Ich bin nicht okay.
I'm rested.	Ich bin ausgeruht.
I'm ruined.	Ich bin ruiniert.
I'm scared.	Ich habe Angst.
I'm single.	Ich bin ledig.
I'm single.	Ich bin single.
I'm sleepy!	Ich bin müde!
I'm sneaky.	Ich bin hinterlistig.
I'm so fat.	Ich bin so dick.
I'm so fat.	Ich bin so fett.
I'm thirty.	Ich bin dreißig.
I'm thirty.	Ich bin dreißig Jahre alt.
I'm twelve.	Ich bin zwölf Jahre alt.
I'm twelve.	Ich bin 12 Jahre alt.
I've eaten.	Ich habe gegessen.
I've tried.	Ich habe es versucht.
Ignore Tom.	Ignorier Tom.
Is Tom big?	Ist Tom groß?
Is Tom hot?	Ist Tom zu heiß?
Is Tom ill?	Ist Tom krank?
Is Tom out?	Ist Tom draußen?
Is Tom out?	Ist Tom ausgegangen?
Is he busy?	Ist er beschäftigt?
Is he tall?	Ist er groß?
Is it done?	Ist es fertig?
Is it free?	Ist es kostenlos?
Is it good?	Ist es gut?
Is it love?	Ist das Liebe?
Is it over?	Ist es vorbei?
Is it time?	Ist es Zeit?
Is it time?	Ist es so weit?
Is that it?	Ist es das?
Is this OK?	Ist das okay?
Is this it?	Ist es das?
It happens.	Das passiert!
It is 7:45.	Es ist 7:45 Uhr.
It matters.	Das ist wichtig.
It matters.	Das tut was zur Sache.
It was big.	Es war groß.
It'll work.	Es wird funktionieren.
It's Tom's.	Das gehört Tom.
It's a bet.	Es ist eine Wette.
It's a fad.	Das ist eine Modeerscheinung.
It's a fad.	Das ist eine vorübergehende Laune.
It's alive.	Es lebt!
It's bogus.	Das ist mies.
It's bogus.	Das ist übel.
It's bulky.	Es ist sperrig.
It's bulky.	Es ist unhandlich.
It's clean.	Es ist sauber.
It's clean.	Sie ist sauber.
It's clean.	Er ist sauber.
It's clear.	Es ist klar.
It's close.	Es ist nah.
It's early.	Es ist früh.
It's great.	Es ist großartig.
It's green.	Das ist grün.
It's my CD.	Das ist meine CD.
It's night.	Es ist Nacht.
It's on me.	Das geht auf meine Rechnung.
It's ready.	Es ist bereit.
It's ready.	Es ist fertig.
It's shiny.	Es glänzt.
It's stuck.	Es steckt fest.
It's there.	Es ist da.
It's white.	Es ist weiß.
It's windy.	Es ist windig.
It's yours.	Es ist deins.
It's yours.	Es gehört dir.
Jesus wept.	Jesus weinte.
Just do it.	Mach es doch!
Just relax.	Entspann dich einfach!
Keep going.	Mach weiter.
Keep it up!	Nicht nachlassen!
Keep it up.	Nicht nachlassen!
Keep quiet!	Bleib ruhig!
Keep quiet.	Bleibt ruhig.
Keep still.	Halt still!
Leave town.	Verlassen Sie die Stadt.
Let Tom go.	Lass Tom los!
Let Tom go.	Lass Tom gehen!
Let Tom go.	Lassen Sie Tom gehen!
Let Tom go.	Lasst Tom gehen!
Let Tom go.	Lassen Sie Tom los!
Let Tom go.	Lasst Tom los!
Let Tom in.	Lass Tom rein.
Let Tom in.	Lassen Sie Tom rein.
Let Tom in.	Lasst Tom rein.
Let him go.	Lasst ihn gehen.
Let me die.	Lass mich sterben.
Let me out!	Lass mich raus!
Let me pay.	Lass mich bezahlen.
Let me pay.	Lass mich zahlen.
Let me pay.	Lass mich zahlen!
Let me see.	Lass mich sehen.
Let me see.	Lassen Sie mich sehen.
Let me see.	Lasst mich sehen.
Let me see.	Lassen Sie mich mal sehen.
Let me try.	Lass mich versuchen.
Let me try.	Lass mich mal probieren.
Let us out.	Lass uns heraus!
Let us out.	Lassen Sie uns heraus!
Let's pray.	Lasset uns beten!
Let's talk.	Lass uns reden.
Let's vote.	Lasst uns abstimmen.
Let's wait.	Warten wir.
Let's walk.	Lasst uns gehen.
Let's work.	Arbeiten wir!
Look again.	Schau nochmal hin.
Look ahead.	Schau nach vorne.
Look ahead.	Schauen Sie nach vorne.
Look ahead.	Schaut nach vorne.
Look ahead.	Seien Sie vorausschauend.
Look at it.	Schau es dir an.
Look at me.	Sieh mich an.
Look at me.	Kuck mich an!
Look at us.	Schau uns an.
Look it up.	Schlag es nach!
Look there.	Sieh dort!
Love hurts.	Liebe tut weh.
Love lasts.	Die Liebe bleibt.
Mama cried.	Mama weinte.
Never mind!	Mach dir nichts draus!
No comment.	Kein Kommentar.
No kidding?	Wirklich?
No kidding?	Echt?
No kidding?	Ernsthaft?
No kidding?	Im Ernst?
No problem!	Kein Problem!
No problem.	Kein Problem.
No problem.	Ohne Probleme.
Nobody ran.	Niemand lief.
Nobody ran.	Niemand ist gelaufen.
Oh, really?	Ach, wirklich?
Once again.	Noch einmal.
Once again.	Nochmal.
Pick it up.	Hebe es auf.
Please eat.	Iss bitte!
Please eat.	Essen Sie bitte!
Please eat.	Esst bitte!
Pull me up.	Zieh mich hoch!
Pull me up.	Ziehen Sie mich hoch!
Quiet down.	Beruhige dich!
Quiet down.	Sei leise.
Quiet down.	Beruhigt euch.
Quiet down.	Seid leise.
Quiet down.	Beruhigen Sie sich.
Quiet down.	Seien Sie leise.
Replace it.	Ersetze es.
Replace it.	Tausche es aus.
Replace it.	Ersetzen Sie es.
Replace it.	Tauschen Sie es aus.
Replace it.	Ersetzt es.
Replace it.	Tauscht es aus.
Run for it!	Beeile dich!
Say cheese.	Bitte lächeln!
Say cheese.	Bitte recht freundlich!
Say please.	Sag „bitte“.
Say please.	Sagen Sie „bitte“ .
Scoot over.	Rutsch mal.
Shadow him.	Folge ihm.
She is old.	Sie ist alt.
She smiled.	Sie lächelte.
She smiled.	Sie hat gelächelt.
She's busy.	Sie ist beschäftigt.
